epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.681,2.15316,3.07928,1.4711,0.2356,0.78919,0.22789,0.14681,0.94498,4.0051,0.94674,0.00014,0.00014,0.00014
2,611.995,1.11401,1.10046,0.95119,0.90444,0.81854,0.90801,0.69617,0.84519,1.11719,0.90923,0.00029703,0.00029703,0.00029703
3,927.938,0.98974,0.76219,0.93087,0.79965,0.82703,0.86261,0.65911,0.82722,0.82085,0.9085,0.000450892,0.000450892,0.000450892
4,1252.63,0.99261,0.74972,0.94364,0.84604,0.83784,0.88923,0.64646,0.90076,0.86667,0.95422,0.000601586,0.000601586,0.000601586
5,1567.33,0.96767,0.67102,0.96774,0.83702,0.91613,0.91525,0.70258,0.83866,1.15513,0.93668,0.000749112,0.000749112,0.000749112
6,1885.45,1.02954,0.65461,0.95005,0.71664,0.77924,0.81084,0.60255,0.90656,0.97879,0.94928,0.00089347,0.00089347,0.00089347
7,2195.6,1.00555,0.67371,0.95051,0.69802,0.79964,0.73549,0.5569,0.88538,1.61707,0.9474,0.00103466,0.00103466,0.00103466
8,2493.97,0.93765,0.61535,0.93782,0.33465,0.71892,0.30176,0.21547,0.93111,3.27477,0.97276,0.00117268,0.00117268,0.00117268
9,2805.19,0.93916,0.54418,0.93449,0.84263,0.77838,0.87607,0.65485,0.9443,1.46841,1.0031,0.00130754,0.00130754,0.00130754
10,3106.31,0.97787,0.58795,0.94473,0.79989,0.76757,0.80158,0.60635,0.91305,0.9573,0.99732,0.00143922,0.00143922,0.00143922
11,3425.7,0.96918,0.69876,0.93627,0.51359,0.37297,0.4029,0.27686,1.05757,3.4104,1.02938,0.00156774,0.00156774,0.00156774
12,3737.47,0.96243,0.65506,0.93699,0.80086,0.76085,0.84088,0.58523,0.97664,1.54417,0.98222,0.00169309,0.00169309,0.00169309
13,4034.32,1.01128,0.5679,0.95099,0.81534,0.81145,0.83501,0.6067,0.84928,1.1266,0.94439,0.0017624,0.0017624,0.0017624
14,4342.27,0.9545,0.58698,0.92196,0.87691,0.85946,0.90713,0.68984,0.85646,0.82089,0.94705,0.0017426,0.0017426,0.0017426
15,4657.55,0.93136,0.62071,0.92557,0.80889,0.92432,0.90555,0.6674,0.84189,0.95066,0.95053,0.0017228,0.0017228,0.0017228
